cty_st,tweets_2010,tweets_2011,tweets_2012,tweets_2013,tweets_2014,tweets_2015,tweets_2016,tweets_2017,tweets_2018,tweets_2019,Ctyname,Stname,Cases2010,Cases2011,Cases2012,Cases2013,Cases2014,Cases2015,Cases2016,Cases2017,Cases2018,Cases2019
"Baker County,Florida",0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Baker County,Florida,0,0,0,0,0,0,0,2,0,0
"Baker County,Oregon",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baker County,Oregon,1,0,0,0,0,0,0,0,1,0
"Baldwin County,Alabama",4.0,2.0,1.0,6.0,3.0,27.0,12.0,28.0,24.0,22.0,Baldwin County,Alabama,0,1,1,0,3,1,2,2,0,0
"Baltimore County,Maryland",10.0,20.0,29.0,30.0,27.0,46.0,132.0,34.0,15.0,34.0,Baltimore County,Maryland,195,187,171,144,199,221,190,212,176,138
"Bamberg County,South Carolina",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Bamberg County,South Carolina,0,0,2,0,0,0,0,0,0,0
"Bandera County,Texas",0.0,0.0,0.0,0.0,0.0,14.0,39.0,66.0,0.0,0.0,Bandera County,Texas,0,0,0,0,0,0,0,0,0,0
"Banks County,Georgia",0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,Banks County,Georgia,0,0,0,0,0,0,0,0,0,0
"Bannock County,Idaho",0.0,0.0,1.0,1.0,8.0,5.0,13.0,8.0,0.0,3.0,Bannock County,Idaho,1,0,1,0,0,0,0,1,0,0
"Baraga County,Michigan",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baraga County,Michigan,0,2,0,0,0,1,1,0,0,5
"Barber County,Kansas",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Barber County,Kansas,0,0,0,0,0,0,0,0,1,0
"Barbour County,West Virginia",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Barbour County,West Virginia,0,0,0,1,0,2,3,16,23,9
"Barnes County,North Dakota",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Barnes County,North Dakota,1,0,0,0,1,0,1,0,0,1
"Barnstable County,Massachusetts",28.0,26.0,60.0,77.0,49.0,89.0,70.0,75.0,100.0,44.0,Barnstable County,Massachusetts,165,183,297,271,246,160,1,15,0,1
"Barnwell County,South Carolina",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Barnwell County,South Carolina,0,0,0,2,2,1,1,0,0,1
"Barren County,Kentucky",1.0,0.0,2.0,3.0,1.0,0.0,1.0,2.0,0.0,2.0,Barren County,Kentucky,0,0,0,0,2,1,0,0,0,0
"Barron County,Wisconsin",0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,Barron County,Wisconsin,142,158,65,22,58,72,44,62,11,21
