cty_st,tweets_2010,tweets_2011,tweets_2012,tweets_2013,tweets_2014,tweets_2015,tweets_2016,tweets_2017,tweets_2018,tweets_2019,Ctyname,Stname,Cases2010,Cases2011,Cases2012,Cases2013,Cases2014,Cases2015,Cases2016,Cases2017,Cases2018,Cases2019
"Haralson County,Georgia",0,0,1,4,0,0,0,0,3,2,Haralson County,Georgia,0,0,0,0,0,0,0,0,0,0
"Harris County,Georgia",0,0,0,0,0,1,0,0,0,0,Harris County,Georgia,0,0,1,0,0,0,0,1,0,0
"Hart County,Georgia",0,0,0,0,0,1,0,0,0,1,Hart County,Georgia,0,0,0,0,0,0,0,0,0,0
"Heard County,Georgia",0,0,0,0,0,0,0,0,0,0,Heard County,Georgia,0,1,0,0,0,0,0,0,0,0
"Henry County,Georgia",0,2,5,0,1,5,5,2,2,2,Henry County,Georgia,2,0,1,1,0,0,0,0,0,0
"Houston County,Georgia",0,0,2,1,2,2,4,2,4,6,Houston County,Georgia,0,4,1,0,0,0,0,0,0,0
"Irwin County,Georgia",0,0,5,5,0,0,0,0,0,0,Irwin County,Georgia,0,0,0,0,0,0,0,0,0,0
"Jackson County,Georgia",0,0,0,1,0,1,0,0,2,0,Jackson County,Georgia,0,0,0,0,0,0,0,0,0,0
"Jasper County,Georgia",0,0,0,0,0,0,0,0,0,0,Jasper County,Georgia,1,0,0,0,0,0,0,0,0,0
"Jeff Davis County,Georgia",0,0,0,0,0,0,0,0,0,0,Jeff Davis County,Georgia,0,0,0,0,0,0,0,0,0,0
"Jefferson County,Georgia",0,0,0,1,0,0,0,0,0,0,Jefferson County,Georgia,0,0,0,0,0,0,0,0,0,0
"Jenkins County,Georgia",0,0,0,0,0,0,0,0,0,0,Jenkins County,Georgia,0,0,0,0,0,0,0,0,0,0
"Johnson County,Georgia",0,0,0,0,0,0,0,0,0,0,Johnson County,Georgia,0,0,0,0,0,0,0,0,0,0
"Jones County,Georgia",0,0,0,0,0,1,1,0,0,0,Jones County,Georgia,0,0,1,0,0,0,0,0,0,0
"Lamar County,Georgia",0,0,0,0,0,0,0,1,0,0,Lamar County,Georgia,0,0,0,0,0,0,0,0,0,0
"Lanier County,Georgia",0,0,0,0,0,0,0,0,0,0,Lanier County,Georgia,0,0,0,0,0,0,0,0,0,0
"Laurens County,Georgia",0,0,0,4,0,0,0,0,0,2,Laurens County,Georgia,0,0,0,0,0,0,0,0,2,0
